id;region;customer_lifetime_value;response;coverage;education;effective_to_date;month;employment_status;gender;income;location_code;marital_status;monthly_premium_auto;months_since_last_claim;months_since_policy_inception;number_of_open_complaints;number_of_policies;policy_type;policy;renew_offer_type;sales_channel;total_claim_amount;vehicle_class;vehicle_size
6463;central;21101;no;basic;college;13/02/11;feb;employed;f;61347;suburban;married;106;27;66;0;2;personal auto;personal l2;offer4;branch;604;four-door car;medsize
6464;central;3758;no;extended;bachelor;07/01/11;jan;employed;f;58300;rural;married;94;25;55;0;1;personal auto;personal l3;offer1;branch;24;four-door car;medsize
6465;west region;6943;no;extended;high school or below;24/02/11;feb;unemployed;f;53151;suburban;single;76;4;43;5;2;special auto;special l2;offer1;agent;547;four-door car;large
6466;north west;4254;yes;basic;high school or below;03/02/11;feb;disabled;f;11904;suburban;single;61;34;11;2;3;personal auto;personal l2;offer1;web;292;two-door car;small
6467;central;18708;no;extended;college;04/02/11;feb;unemployed;m;98433;suburban;single;77;10;36;1;2;personal auto;personal l3;offer1;branch;554;four-door car;small
6468;north west;8048;no;basic;college;20/01/11;jan;unemployed;f;50863;suburban;single;116;24;90;0;9;personal auto;personal l3;offer2;branch;1339;suv;medsize
6469;west region;8715;no;extended;bachelor;25/02/11;feb;unemployed;m;33838;suburban;single;84;33;20;0;2;personal auto;personal l3;offer3;branch;604;four-door car;medsize
6470;east;8007;yes;basic;high school or below;02/01/11;jan;unemployed;f;27972;suburban;divorced;112;12;93;0;3;personal auto;personal l3;offer1;web;537;four-door car;medsize
6471;north west;35013;no;extended;bachelor;24/02/11;feb;unemployed;f;41988;urban;married;133;1;85;0;2;personal auto;personal l2;offer2;branch;532;suv;medsize
6472;west region;8869;no;basic;high school or below;19/01/11;jan;unemployed;f;81214;suburban;married;119;12;57;0;4;corporate auto;corporate l1;offer1;agent;571;suv;medsize
6473;central;27890;no;extended;high school or below;11/02/11;feb;employed;f;46546;urban;divorced;99;9;64;0;2;special auto;special l1;offer1;branch;319;four-door car;medsize
6474;north west;4836;no;extended;high school or below;08/01/11;jan;disabled;m;16450;suburban;married;128;6;81;0;1;corporate auto;corporate l3;offer1;branch;871;suv;medsize
6475;west region;4433;no;basic;bachelor;21/01/11;jan;unemployed;f;91058;suburban;single;65;7;22;0;6;special auto;special l3;offer2;web;312;four-door car;medsize
6476;north west;10114;no;extended;college;27/01/11;jan;employed;f;74001;urban;married;84;16;0;0;2;corporate auto;corporate l3;offer4;call center;224;four-door car;medsize
6477;west region;10517;no;extended;college;18/01/11;jan;employed;f;46707;rural;married;133;7;9;0;8;personal auto;personal l2;offer3;branch;80;sports car;medsize
6478;central;10255;no;basic;bachelor;23/01/11;jan;unemployed;m;64893;suburban;single;102;17;77;0;2;personal auto;personal l3;offer1;agent;734;sports car;medsize
6479;east;11618;no;premium;college;07/01/11;jan;employed;f;27750;suburban;married;297;28;25;1;1;personal auto;personal l2;offer1;branch;1425;luxury car;medsize
6480;east;2580;yes;basic;college;09/02/11;feb;employed;m;46900;suburban;married;66;13;59;0;1;personal auto;personal l2;offer2;web;316;four-door car;medsize
6481;west region;31316;no;extended;bachelor;31/01/11;jan;employed;f;42522;suburban;married;132;3;85;0;2;corporate auto;corporate l1;offer3;agent;909;suv;medsize
6482;north west;23187;no;basic;college;02/02/11;feb;employed;m;58466;suburban;married;66;7;79;1;2;personal auto;personal l3;offer4;branch;316;two-door car;medsize
6483;north west;9416;no;extended;college;20/02/11;feb;unemployed;m;75664;suburban;married;86;9;83;1;2;personal auto;personal l3;offer2;call center;412;four-door car;medsize
6484;central;2517;no;basic;college;26/02/11;feb;unemployed;f;29084;rural;married;69;2;71;0;1;personal auto;personal l3;offer2;call center;42;four-door car;medsize
6485;central;5252;no;basic;high school or below;22/01/11;jan;unemployed;m;76609;suburban;single;74;21;62;4;3;corporate auto;corporate l3;offer1;agent;532;four-door car;medsize
6486;west region;25464;yes;extended;college;01/02/11;feb;retired;f;13663;suburban;single;97;1;66;0;2;corporate auto;corporate l1;offer1;branch;465;four-door car;small
6487;central;3895;no;extended;high school or below;26/02/11;feb;employed;m;35970;suburban;divorced;98;29;81;0;1;corporate auto;corporate l3;offer3;call center;470;four-door car;large
6488;central;3560;no;extended;college;26/01/11;jan;employed;f;76769;rural;married;88;6;91;0;1;corporate auto;corporate l2;offer2;web;170;four-door car;medsize
6489;central;2248;yes;basic;bachelor;29/01/11;jan;retired;f;24910;suburban;single;63;7;63;1;1;personal auto;personal l3;offer1;branch;347;four-door car;medsize
6490;central;5600;no;basic;bachelor;15/02/11;feb;employed;f;63621;suburban;married;70;8;48;0;5;personal auto;personal l3;offer4;call center;444;four-door car;medsize
6491;north west;7857;no;basic;high school or below;13/01/11;jan;employed;m;85067;urban;married;65;34;51;0;2;personal auto;personal l3;offer2;branch;256;four-door car;medsize
6492;north west;8828;no;basic;high school or below;27/01/11;jan;employed;m;86721;suburban;divorced;111;33;10;0;3;corporate auto;corporate l2;offer4;call center;532;four-door car;medsize
6493;west region;5166;no;basic;college;01/02/11;feb;employed;f;80797;urban;married;64;21;47;0;9;personal auto;personal l1;offer2;web;300;four-door car;small
6494;central;3034;no;extended;high school or below;20/01/11;jan;medical leave;m;17308;suburban;married;82;10;86;0;1;personal auto;personal l2;offer2;branch;874;four-door car;small
6495;west region;7720;no;basic;high school or below;26/02/11;feb;employed;f;67332;suburban;married;192;11;10;0;1;personal auto;personal l2;offer4;branch;921;luxury car;medsize
6496;west region;8649;no;basic;college;13/01/11;jan;employed;f;43383;suburban;married;109;7;60;0;8;personal auto;personal l1;offer3;branch;757;suv;medsize
6497;central;5090;no;basic;master;05/02/11;feb;employed;f;93018;rural;divorced;63;5;90;0;3;personal auto;personal l3;offer3;call center;135;four-door car;medsize
6498;central;4250;yes;basic;high school or below;18/01/11;jan;unemployed;f;63687;suburban;single;61;17;1;1;7;personal auto;personal l3;offer1;agent;292;four-door car;small
6499;north west;8435;no;basic;bachelor;17/02/11;feb;employed;m;64692;suburban;married;70;17;80;0;2;corporate auto;corporate l3;offer1;agent;336;two-door car;small
6500;east;24127;yes;basic;bachelor;26/01/11;jan;medical leave;m;14072;suburban;divorced;71;13;3;0;2;personal auto;personal l2;offer1;agent;511;four-door car;medsize
6501;north west;5511;no;basic;bachelor;15/02/11;feb;employed;f;36267;urban;married;69;21;1;0;8;personal auto;personal l1;offer1;agent;263;four-door car;medsize
6502;east;6751;no;extended;high school or below;23/02/11;feb;unemployed;m;66590;suburban;married;95;14;78;0;9;personal auto;personal l3;offer1;agent;456;four-door car;small
6503;north west;3508;yes;extended;college;05/01/11;jan;medical leave;m;20978;suburban;married;98;19;96;1;1;personal auto;personal l3;offer2;branch;1176;four-door car;small
6504;central;9657;yes;extended;high school or below;31/01/11;jan;unemployed;m;19326;suburban;married;131;34;61;0;9;corporate auto;corporate l3;offer1;agent;628;suv;medsize
6505;north west;5141;no;basic;high school or below;22/02/11;feb;employed;m;60277;rural;married;65;32;19;0;7;personal auto;personal l1;offer3;web;146;four-door car;medsize
6506;east;12298;yes;basic;high school or below;20/02/11;feb;medical leave;m;17101;suburban;single;113;1;88;0;2;personal auto;personal l3;offer1;call center;542;suv;medsize
6507;west region;6290;no;extended;bachelor;21/01/11;jan;unemployed;m;34618;suburban;single;95;11;23;0;5;personal auto;personal l2;offer1;branch;684;two-door car;medsize
6508;west region;8605;no;basic;high school or below;17/02/11;feb;employed;m;47589;rural;married;109;35;44;1;7;personal auto;personal l2;offer1;agent;110;suv;medsize
6509;north west;8382;yes;basic;high school or below;04/02/11;feb;retired;m;19683;suburban;married;117;17;41;1;9;personal auto;personal l2;offer1;web;561;four-door car;medsize
6510;central;2608;no;basic;master;11/02/11;feb;employed;m;61567;rural;married;65;35;78;0;1;personal auto;personal l1;offer4;branch;39;four-door car;small
6511;north west;19927;no;basic;high school or below;30/01/11;jan;employed;m;51352;rural;divorced;66;21;87;3;2;personal auto;personal l2;offer1;branch;95;four-door car;medsize
6512;west region;2860;no;basic;doctor;18/02/11;feb;employed;m;27907;suburban;divorced;74;3;38;1;1;personal auto;personal l2;offer3;call center;406;four-door car;medsize
6513;west region;8491;no;basic;college;24/02/11;feb;employed;m;62076;urban;married;71;25;82;0;2;personal auto;personal l2;offer3;branch;227;four-door car;medsize
6514;north west;6866;no;basic;college;19/02/11;feb;unemployed;f;81463;rural;divorced;64;18;59;0;2;personal auto;personal l3;offer1;agent;40;two-door car;medsize
6515;central;22337;no;extended;high school or below;13/02/11;feb;unemployed;m;34426;suburban;single;130;9;43;0;2;personal auto;personal l2;offer1;branch;1376;suv;large
6516;west region;9392;no;extended;college;30/01/11;jan;unemployed;m;94124;suburban;single;88;4;52;0;2;personal auto;personal l3;offer3;branch;851;four-door car;medsize
6517;north west;3173;no;premium;college;25/01/11;jan;unemployed;m;67429;suburban;married;101;34;52;4;1;personal auto;personal l3;offer1;call center;484;four-door car;small
6518;central;4013;no;basic;high school or below;04/01/11;jan;disabled;f;15413;suburban;married;106;4;67;0;1;personal auto;personal l1;offer2;branch;508;suv;large
6519;central;5996;no;extended;college;10/02/11;feb;unemployed;f;92827;suburban;married;83;5;59;0;9;personal auto;personal l2;offer4;branch;398;four-door car;medsize
6520;east;4389;no;basic;bachelor;06/02/11;feb;employed;m;26676;suburban;married;112;7;96;0;1;personal auto;personal l3;offer2;agent;537;suv;large
6521;west region;8033;no;basic;college;30/01/11;jan;employed;f;70311;suburban;married;66;18;15;0;2;personal auto;personal l3;offer1;branch;341;two-door car;medsize
6522;north west;7511;no;basic;bachelor;20/01/11;jan;unemployed;f;49165;suburban;single;70;9;96;0;2;personal auto;personal l3;offer1;branch;340;four-door car;medsize
6523;west region;8061;no;basic;college;11/02/11;feb;employed;m;57293;urban;married;102;24;87;0;7;corporate auto;corporate l3;offer1;agent;347;four-door car;large
6524;west region;14131;no;basic;high school or below;09/01/11;jan;employed;m;28327;suburban;single;185;22;26;4;3;personal auto;personal l2;offer4;web;888;luxury car;medsize
6525;north west;5385;no;basic;high school or below;06/02/11;feb;medical leave;m;29664;suburban;married;71;1;69;0;3;personal auto;personal l1;offer1;agent;340;four-door car;medsize
6526;central;2227;yes;basic;high school or below;05/01/11;jan;retired;m;27972;suburban;married;61;7;38;0;1;personal auto;personal l3;offer3;web;292;four-door car;medsize
6527;central;2199;no;basic;high school or below;15/02/11;feb;unemployed;m;59695;suburban;single;64;21;5;0;1;personal auto;personal l3;offer4;branch;685;two-door car;small
6528;central;11660;no;premium;college;19/02/11;feb;employed;f;21506;suburban;divorced;151;11;42;0;4;personal auto;personal l3;offer2;agent;826;sports car;medsize
6529;central;3910;no;extended;bachelor;18/02/11;feb;employed;f;58713;suburban;married;98;8;4;0;1;special auto;special l1;offer1;agent;470;four-door car;small
6530;north west;2305;no;basic;bachelor;22/02/11;feb;unemployed;m;92380;suburban;married;63;33;34;0;1;special auto;special l3;offer4;call center;327;four-door car;large
6531;central;4361;no;premium;high school or below;04/02/11;feb;employed;f;79583;suburban;married;109;12;76;2;1;personal auto;personal l3;offer1;agent;523;four-door car;medsize
6532;west region;3237;no;extended;college;08/01/11;jan;employed;f;60097;urban;single;82;11;62;0;1;personal auto;personal l3;offer3;branch;278;four-door car;medsize
6533;east;5181;yes;basic;master;03/02/11;feb;employed;f;97131;suburban;married;64;5;80;0;6;special auto;special l2;offer2;agent;307;four-door car;small
6534;west region;6480;no;extended;high school or below;10/01/11;jan;employed;f;42846;urban;married;81;14;42;0;4;corporate auto;corporate l1;offer1;branch;286;four-door car;medsize
6535;west region;2700;no;basic;high school or below;29/01/11;jan;employed;m;79292;rural;married;67;18;58;0;1;corporate auto;corporate l2;offer2;branch;55;four-door car;medsize
6536;north west;35692;no;basic;high school or below;05/01/11;jan;unemployed;f;41414;suburban;married;102;10;90;0;2;personal auto;personal l1;offer1;branch;1123;suv;medsize
6537;central;2357;no;basic;master;23/02/11;feb;unemployed;m;96280;urban;married;64;25;80;0;1;personal auto;personal l3;offer2;branch;199;four-door car;medsize
6538;central;2590;no;basic;college;21/02/11;feb;employed;f;25981;rural;married;65;33;38;0;1;personal auto;personal l3;offer1;agent;77;two-door car;large
6539;central;2897;no;basic;bachelor;25/02/11;feb;employed;m;54337;suburban;married;72;27;7;0;1;personal auto;personal l2;offer3;web;345;four-door car;medsize
6540;west region;13891;no;premium;bachelor;08/01/11;jan;employed;m;42305;suburban;married;117;10;62;0;2;personal auto;personal l3;offer1;agent;561;four-door car;small
6541;central;6608;no;extended;high school or below;03/01/11;jan;medical leave;m;21616;suburban;single;93;4;41;0;7;personal auto;personal l1;offer2;web;944;two-door car;medsize
6542;central;3074;no;basic;high school or below;08/01/11;jan;unemployed;m;51809;suburban;single;104;25;33;3;1;personal auto;personal l2;offer1;web;748;sports car;medsize
6543;central;6207;no;extended;college;02/01/11;jan;employed;f;49419;urban;married;77;3;34;0;4;personal auto;personal l2;offer2;web;203;four-door car;medsize
6544;central;9877;no;extended;college;31/01/11;jan;employed;f;67752;rural;single;131;4;40;4;9;personal auto;personal l2;offer1;web;168;sports car;small
6545;east;8415;no;basic;college;13/02/11;feb;unemployed;m;57054;suburban;single;62;8;98;0;2;personal auto;personal l2;offer1;branch;446;four-door car;small
6546;west region;5409;no;basic;high school or below;26/02/11;feb;unemployed;f;98286;suburban;single;62;1;9;5;2;personal auto;personal l3;offer2;agent;297;four-door car;medsize
6547;central;37243;no;basic;high school or below;18/02/11;feb;employed;f;53602;urban;married;115;15;60;0;2;personal auto;personal l1;offer1;web;295;sports car;medsize
6548;west region;4483;no;basic;master;09/01/11;jan;employed;m;32983;urban;married;113;25;59;0;1;personal auto;personal l1;offer2;call center;466;suv;medsize
6549;west region;8470;no;basic;high school or below;07/01/11;jan;unemployed;f;52386;suburban;married;113;34;5;0;8;corporate auto;corporate l2;offer1;call center;619;suv;medsize
6550;east;18544;no;extended;high school or below;05/01/11;jan;employed;f;34087;urban;single;235;12;49;0;6;personal auto;personal l2;offer1;branch;889;luxury suv;medsize
6551;west region;2444;no;basic;bachelor;08/02/11;feb;employed;m;48473;suburban;single;63;1;73;0;1;personal auto;personal l3;offer2;agent;302;four-door car;medsize
6552;central;8487;no;basic;college;05/01/11;jan;unemployed;m;16560;suburban;married;74;7;93;0;2;personal auto;personal l2;offer1;agent;426;two-door car;medsize
6553;west region;2129;no;basic;high school or below;11/01/11;jan;unemployed;m;92682;suburban;divorced;61;13;81;1;1;corporate auto;corporate l3;offer1;agent;292;luxury suv;large
6554;north west;3808;yes;extended;college;28/01/11;jan;employed;f;94903;suburban;married;94;3;38;0;1;personal auto;personal l1;offer2;agent;451;two-door car;small
6555;west region;8207;no;basic;high school or below;16/02/11;feb;employed;m;40420;suburban;married;104;2;10;0;7;special auto;special l3;offer1;agent;499;suv;medsize
6556;west region;3985;no;extended;bachelor;14/01/11;jan;employed;f;77739;urban;married;98;31;61;0;1;personal auto;personal l3;offer2;call center;428;four-door car;large
